Movie Name,Movie Genre,Movie Rating,Movie Votes,Movie Revenue,Movie Year Cleaned,Movie Budget Cleaned,Movie Languages,
A Little Life,Drama,8.5,264,"1,581,385",2023, ,English,
Skinamarink,Horror,4.9,12492,"2,116,254",2022,10950,English,
F9: The Fast Saga,"Action, Crime, Thriller",5.2,155676,"726,229,501",2021,"200,000,000",English,
Plane,"Action, Adventure, Thriller",6.5,66766,"74,191,973",2023, ,"English, Tagalog",
CODA,"Comedy, Drama, Music",8,153814,"1,905,058",2021,"10,000,000","American Sign Language, English",
RRR,"Action, Drama",7.8,157660,"166,611,197",2022,42000000,"Hindi, Telugu, English",
Love Again,"Comedy, Drama, Romance",5.8,9554,"12,696,584",2023, ,English,
Sympathy for the Devil,"Action, Thriller",5.5,5712,"237,27",2023, ,English,
The Wrath of Becky,"Action, Horror, Thriller",6.1,8344,"202,11",2023, ,English,
Sonic the Hedgehog 2,"Action, Adventure, Comedy",6.5,80381,"405,421,518",2022,"110,000,000","English, Russian, French, Latin, Hawaiian, Greek",
The Out-Laws,"Action, Comedy, Crime",5.4,30926, ,2023, ,English,
Licorice Pizza,"Comedy, Drama, Romance",7.1,133437,"33,273,940",2021,"40,000,000","English, Japanese, Spanish",
Black Panther: Wakanda Forever,"Action, Adventure, Drama",6.7,287086,"859,208,836",2022,"250,000,000","English, Xhosa, Maya, Spanish, Haitian, French",
The Zone of Interest,"Drama, History, War",8.1,605, ,2023, ,English,
Beautiful Disaster,"Drama, Romance",5.3,8590,"6,850,036",2023, ,"English, French",
The Mean One,"Comedy, Horror",3.7,611,"612,26",2022, ,English,
Paradise,"Action, Sci-Fi, Thriller",6.3,15299, ,2023, ,German,
The Holdovers,"Comedy, Drama",8.2,203, ,2023, ,English,
Women Talking,Drama,6.9,36577,"9,271,977",2022, ,English,
The Forever Purge,"Action, Crime, Horror",5.4,40945,"76,994,245",2021,"18,000,000","English, Spanish",
The Last Duel,"Action, Drama, History",7.4,171984,"30,552,111",2021,"100,000,000","English, German, French, Latin",
Men,"Drama, Fantasy, Horror",6.1,55672,"11,152,071",2022, ,English,
Purple Hearts,"Drama, Music, Romance",6.7,47153, ,2022, ,English,
The Worst Person in the World,"Comedy, Drama, Romance",7.8,87088,"12,687,334",2021,5250000,Norwegian,
Speak No Evil,"Drama, Horror, Thriller",6.6,30938,"631,249",2022,"3,200,000","English, Dutch, Danish",
Lee,"Biography, Drama, History",7.1,144, ,2023, ,English,
Uncharted,"Action, Adventure",6.3,238607,"407,141,258",2022,"120,000,000","English, Spanish",
Girl in the Basement,"Crime, Thriller",6.3,11800, ,2021, ,English,
Hidden Strike,"Action, Adventure, Comedy",5.3,15517,"2,155,243",2023,"80,000,000","English, Mandarin",
Living,Drama,7.2,27923,"12,208,598",2022, ,English,
Mob Land,"Action, Crime, Thriller",5.2,1372,171,2023, ,English,
Moonfall,"Action, Adventure, Sci-Fi",5.1,93721,"67,295,363",2022,"150,000,000","English, Chinese, Spanish",
Nightmare Alley,"Crime, Drama, Thriller",7,157703,"39,629,195",2021,"60,000,000","English, French",
The Marsh King's Daughter,"Crime, Drama, Mystery",7.4,76, ,2023, ,English,
Ehrengard: The Art of Seduction,"Comedy, Drama, Romance",5.8,1554, ,2023, ,Danish,
The Invitation,"Horror, Thriller",5.3,28475,"38,036,130",2022,"10,000,000",English,
Fear Street: Part One - 1994,"Drama, Horror, Mystery",6.2,90052, ,2021, ,English,
After We Fell,"Drama, Romance",4.7,18316,"21,753,705",2021, ,English,
Wrath of Man,"Action, Crime, Thriller",7.1,197454,"103,966,489",2021,"40,000,000","English, Spanish, Arabic",
A Good Person,Drama,7,14892,"2,688,568",2023, ,English,
God Is a Bullet,"Action, Crime, Thriller",5.6,3587,"107,725",2023, ,English,
The Miracle Club,"Comedy, Drama",6.5,497,"2,809,585",2023,9345000,English,
Eileen,"Drama, Mystery, Thriller",7,238, ,2023, ,English,
The Munsters,"Comedy, Family, Fantasy",4.5,10824, ,2022, ,English,
